,idnr,country,repbas,closdate,closdate_year,accpra,months,unit,currency,exchrate,exchrate2,fias,ifas,tfas,ofas,cuas,stok,debt,ocas,cash,toas,shfd,capi,osfd,ncli,ltdb,oncl,prov,culi,loan,cred,ocli,tshf,wkca,ncas,enva,empl,opre,turn,cost,gros,oope,oppl,fire,fiex,fipl,plbt,taxa,plat,exre,exex,extr,pl,expt,mate,staf,depr,inte,rd,cf,av,ebit,ebta,rshf,rcem,rtas,cfop,prma,grma,etma,ebma,nat,ic,stot,coll,crpe,exop,curr,liqr,shlq,solr,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape,compcat,idnr,accnr,ofnbr,name,name_nat,address,address_nat,zipcode,city,city_nat,region,region_nat,country,cntrycde,phone,fax,email,lstatus,statusdate,statusdate_year,type,dateinc,dateinc_year,quoted,repbas_header,consol,typacc,lastyear,numyears,updnum,ipsource,indepind,compcat,trdesen,tradedes,pgid,pgname,pgdesc,pgsize,statusdate_char,dateinc_char,name_short
0,NL09172592,NETHERLANDS,Limited Fin. Data,,2007.0,Local GAAP,12.0,3.0,EUR,1.472099304,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
1,NL09172592,NETHERLANDS,Limited Fin. Data,,2008.0,Local GAAP,12.0,3.0,EUR,1.391699314,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
2,NL09172592,NETHERLANDS,Limited Fin. Data,,2009.0,Local GAAP,12.0,3.0,EUR,1.440600395,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
3,NL09172592,NETHERLANDS,Limited Fin. Data,,2010.0,Local GAAP,12.0,3.0,EUR,1.336898446,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
4,NL09172592,NETHERLANDS,Limited Fin. Data,,2011.0,Local GAAP,12.0,3.0,EUR,1.293899894,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
5,NL09172592,NETHERLANDS,Limited Fin. Data,,2012.0,Local GAAP,12.0,3.0,EUR,1.319399953,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
6,NL09172592,NETHERLANDS,Limited Fin. Data,,2017.0,Local GAAP,12.0,3.0,EUR,1.199299574,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
7,NL09172592,NETHERLANDS,Limited Fin. Data,,2019.0,Local GAAP,12.0,3.0,EUR,1.137229323,1.0,,,,,,,,,,,,500100.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,NL09172592,NL09172592U,000019195524,FRIESLANDCAMPINA ROCKET B.V.,FRIESLANDCAMPINA ROCKET B.V.,STATIONSPLEIN 4,STATIONSPLEIN 4,3818 LE,AMERSFOORT,AMERSFOORT,Amersfoort,Amersfoort,NETHERLANDS,NL,+31 33 7133333,+31 318 439201,,Dissolved,2019-01-10,2019.0,Private limited liability company - BV,2007-07-01,2007.0,No,Limited Fin. Data,LF,Limited Fin. Data,2019.0,8.0,2942.0,Lexis Nexis,-,SMALL,,De productie van  marketing van en de verkoop van sappen  sappengerelateerde producten  fris- dranken  snacks  zuivel en zuivelgerelateerde producten.,10324,1032 SM,Manufacture of fruit and vegetable juice (Small Companies),903.0,10/01/2019,01/07/2007,FRICAMP ROCKET B.V.
8,SE5568603863,SWEDEN,Unconsolidated data,2012-12-31,2012.0,Local GAAP,12.0,0.0,SEK,0.153739721,0.116522454,0.0,,,,1709000.0,,,1708000.0,9000.0,1709000.0,971000.0,50000.0,921000.0,,,,,737000.0,0.0,48000.0,689000.0,1709000.0,,972000.0,,3.0,4516000.0,4516000.0,,,,1173000.0,,14000.0,-14000.0,1159000.0,238000.0,921000.0,,,,921000.0,,,2650000.0,,14000.0,,,,1173000.0,,119.36,,67.82,,25.66,,,25.97,,83.79,,,4.0,,2.32,,,56.82,,386.0,1505.0,58.68,883.0,324.0,,570.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
9,SE5568603863,SWEDEN,Unconsolidated data,2013-12-31,2013.0,Local GAAP,12.0,0.0,SEK,0.155671105,0.112878768,0.0,,,,2306000.0,,,2305000.0,878000.0,2306000.0,1480000.0,50000.0,1430000.0,,,,,825000.0,0.0,9000.0,816000.0,2306000.0,,1481000.0,,4.0,4128000.0,4128000.0,,,,756000.0,9000.0,12000.0,-3000.0,753000.0,244000.0,509000.0,,,,509000.0,,,2461000.0,,11000.0,,,,756000.0,,50.88,,32.65,,18.24,,,18.31,,68.73,,,1.0,,2.8,,,64.18,,188.0,1032.0,59.62,615.0,370.0,,577.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
