,idnr,country,repbas,closdate,closdate_year,accpra,months,unit,currency,exchrate,exchrate2,fias,ifas,tfas,ofas,cuas,stok,debt,ocas,cash,toas,shfd,capi,osfd,ncli,ltdb,oncl,prov,culi,loan,cred,ocli,tshf,wkca,ncas,enva,empl,opre,turn,cost,gros,oope,oppl,fire,fiex,fipl,plbt,taxa,plat,exre,exex,extr,pl,expt,mate,staf,depr,inte,rd,cf,av,ebit,ebta,rshf,rcem,rtas,cfop,prma,grma,etma,ebma,nat,ic,stot,coll,crpe,exop,curr,liqr,shlq,solr,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape,compcat,idnr,accnr,ofnbr,name,name_nat,address,address_nat,zipcode,city,city_nat,region,region_nat,country,cntrycde,phone,fax,email,lstatus,statusdate,statusdate_year,type,dateinc,dateinc_year,quoted,repbas_header,consol,typacc,lastyear,numyears,updnum,ipsource,indepind,compcat,trdesen,tradedes,pgid,pgname,pgdesc,pgsize,statusdate_char,dateinc_char,name_short
0,DK33862423,DENMARK,Unconsolidated data,2013-12-31,2013.0,Local GAAP,12.0,0.0,DKK,0.184750676,0.133964673,0.0,,,,2448000.0,0.0,0.0,2448000.0,636000.0,2448000.0,1463000.0,80000.0,1383000.0,0.0,,,,985000.0,0.0,118000.0,867000.0,2448000.0,-118000.0,1463000.0,,,,,,4365000.0,3241000.0,1124000.0,,73000.0,-73000.0,1051000.0,273000.0,778000.0,,,,778000.0,,,3241000.0,,73000.0,,,,1124000.0,,71.84,76.83,42.93,,,,,,,15.4,,,,,2.49,2.49,,59.76,0.0,,,,,,,,SMALL,DK33862423,DK33862423U,33862423,FRIESLANDCAMPINA DENMARK APS,FRIESLANDCAMPINA DENMARK APS,BEIERHOLM STATSAUTORISERET REVISION  KNUD HOEJGAARDS VEJ 9,BEIERHOLM STATSAUTORISERET REVISION  KNUD HJGAARDS VEJ 9,2860,SOEBORG,SBORG,Gladsa,Gladsa,DENMARK,DK,,,,Active,,,Private limited company - ApS,2011-07-26,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,5.0,2942.0,Experian,D,SMALL,,,10843,1084 ME,Manufacture of condiments and seasonings (Medium Companies),709.0,,26/07/2011,FRICAMP DENMARK APS
1,DK33862423,DENMARK,Unconsolidated data,2014-12-31,2014.0,Local GAAP,12.0,0.0,DKK,0.163361326,0.134553369,0.0,,,,3476000.0,0.0,0.0,3476000.0,2023000.0,3476000.0,2222000.0,80000.0,2142000.0,0.0,,,,1254000.0,0.0,146000.0,1108000.0,3476000.0,-146000.0,2222000.0,,,,,,4895000.0,3873000.0,1022000.0,,5000.0,-5000.0,1017000.0,258000.0,759000.0,,,,759000.0,,,3873000.0,,5000.0,,,,1022000.0,,45.77,46.0,29.26,,,,,,,204.4,,,,,2.77,2.77,,63.92,0.0,,,,,,,,SMALL,DK33862423,DK33862423U,33862423,FRIESLANDCAMPINA DENMARK APS,FRIESLANDCAMPINA DENMARK APS,BEIERHOLM STATSAUTORISERET REVISION  KNUD HOEJGAARDS VEJ 9,BEIERHOLM STATSAUTORISERET REVISION  KNUD HJGAARDS VEJ 9,2860,SOEBORG,SBORG,Gladsa,Gladsa,DENMARK,DK,,,,Active,,,Private limited company - ApS,2011-07-26,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,5.0,2942.0,Experian,D,SMALL,,,10843,1084 ME,Manufacture of condiments and seasonings (Medium Companies),709.0,,26/07/2011,FRICAMP DENMARK APS
2,DK33862423,DENMARK,Unconsolidated data,2015-12-31,2015.0,Local GAAP,12.0,0.0,DKK,0.146412879,0.134484144,0.0,,,,4317000.0,0.0,0.0,4317000.0,3234000.0,4317000.0,3149000.0,80000.0,3069000.0,0.0,,,,1168000.0,0.0,99000.0,1069000.0,4317000.0,-99000.0,3149000.0,,,,,,5113000.0,3878000.0,1235000.0,,10000.0,-10000.0,1225000.0,297000.0,928000.0,,,,927000.0,,,3878000.0,,10000.0,,,,1235000.0,,38.9,39.22,28.38,,,,,,,123.5,,,,,3.7,3.7,,72.94,0.0,,,,,,,,SMALL,DK33862423,DK33862423U,33862423,FRIESLANDCAMPINA DENMARK APS,FRIESLANDCAMPINA DENMARK APS,BEIERHOLM STATSAUTORISERET REVISION  KNUD HOEJGAARDS VEJ 9,BEIERHOLM STATSAUTORISERET REVISION  KNUD HJGAARDS VEJ 9,2860,SOEBORG,SBORG,Gladsa,Gladsa,DENMARK,DK,,,,Active,,,Private limited company - ApS,2011-07-26,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,5.0,2942.0,Experian,D,SMALL,,,10843,1084 ME,Manufacture of condiments and seasonings (Medium Companies),709.0,,26/07/2011,FRICAMP DENMARK APS
3,DK33862423,DENMARK,Unconsolidated data,2016-12-31,2016.0,Local GAAP,12.0,0.0,DKK,0.141787663,0.134510694,0.0,,,,5932000.0,0.0,0.0,5932000.0,498000.0,5932000.0,3793000.0,80000.0,3713000.0,0.0,,,,2139000.0,,104000.0,2034000.0,5932000.0,-104000.0,3793000.0,,6.0,,,,5994000.0,5116000.0,878000.0,,29000.0,-29000.0,849000.0,205000.0,644000.0,,,,644000.0,,,5116000.0,,29000.0,,,,878000.0,,22.38,23.15,14.31,,,,,,,30.28,,,,,2.77,2.77,,63.94,,142.0,,,853.0,632.0,-17.0,989.0,SMALL,DK33862423,DK33862423U,33862423,FRIESLANDCAMPINA DENMARK APS,FRIESLANDCAMPINA DENMARK APS,BEIERHOLM STATSAUTORISERET REVISION  KNUD HOEJGAARDS VEJ 9,BEIERHOLM STATSAUTORISERET REVISION  KNUD HJGAARDS VEJ 9,2860,SOEBORG,SBORG,Gladsa,Gladsa,DENMARK,DK,,,,Active,,,Private limited company - ApS,2011-07-26,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,5.0,2942.0,Experian,D,SMALL,,,10843,1084 ME,Manufacture of condiments and seasonings (Medium Companies),709.0,,26/07/2011,FRICAMP DENMARK APS
4,DK33862423,DENMARK,Unconsolidated data,2017-12-31,2017.0,Local GAAP,12.0,0.0,DKK,0.161090255,0.13432028,0.0,,,,6001000.0,,,6000000.0,415000.0,6001000.0,4584000.0,80000.0,4504000.0,0.0,,,,1417000.0,0.0,41000.0,1376000.0,6001000.0,,4584000.0,,3.0,,,,4402000.0,3293000.0,1109000.0,,90000.0,-90000.0,1019000.0,228000.0,791000.0,,,,791000.0,,,3293000.0,,90000.0,,,,1109000.0,,22.23,24.19,16.98,,,,,,,12.32,,,,,4.24,,,76.39,0.0,340.0,,,1098.0,1528.0,,2000.0,SMALL,DK33862423,DK33862423U,33862423,FRIESLANDCAMPINA DENMARK APS,FRIESLANDCAMPINA DENMARK APS,BEIERHOLM STATSAUTORISERET REVISION  KNUD HOEJGAARDS VEJ 9,BEIERHOLM STATSAUTORISERET REVISION  KNUD HJGAARDS VEJ 9,2860,SOEBORG,SBORG,Gladsa,Gladsa,DENMARK,DK,,,,Active,,,Private limited company - ApS,2011-07-26,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,5.0,2942.0,Experian,D,SMALL,,,10843,1084 ME,Manufacture of condiments and seasonings (Medium Companies),709.0,,26/07/2011,FRICAMP DENMARK APS
5,SE5568603863,SWEDEN,Unconsolidated data,2012-12-31,2012.0,Local GAAP,12.0,0.0,SEK,0.153739721,0.116522454,0.0,,,,1709000.0,,,1708000.0,9000.0,1709000.0,971000.0,50000.0,921000.0,,,,,737000.0,0.0,48000.0,689000.0,1709000.0,,972000.0,,3.0,4516000.0,4516000.0,,,,1173000.0,,14000.0,-14000.0,1159000.0,238000.0,921000.0,,,,921000.0,,,2650000.0,,14000.0,,,,1173000.0,,119.36,,67.82,,25.66,,,25.97,,83.79,,,4.0,,2.32,,,56.82,,386.0,1505.0,58.68,883.0,324.0,,570.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
6,SE5568603863,SWEDEN,Unconsolidated data,2013-12-31,2013.0,Local GAAP,12.0,0.0,SEK,0.155671105,0.112878768,0.0,,,,2306000.0,,,2305000.0,878000.0,2306000.0,1480000.0,50000.0,1430000.0,,,,,825000.0,0.0,9000.0,816000.0,2306000.0,,1481000.0,,4.0,4128000.0,4128000.0,,,,756000.0,9000.0,12000.0,-3000.0,753000.0,244000.0,509000.0,,,,509000.0,,,2461000.0,,11000.0,,,,756000.0,,50.88,,32.65,,18.24,,,18.31,,68.73,,,1.0,,2.8,,,64.18,,188.0,1032.0,59.62,615.0,370.0,,577.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
7,SE5568603863,SWEDEN,Unconsolidated data,2014-12-31,2014.0,Local GAAP,12.0,0.0,SEK,0.129255742,0.106462135,0.0,,,,2801000.0,0.0,0.0,2801000.0,1673000.0,2801000.0,2117000.0,50000.0,2067000.0,0.0,,,,684000.0,0.0,17000.0,667000.0,2801000.0,-17000.0,2117000.0,,3.0,3960000.0,3960000.0,,,,838000.0,1000.0,10000.0,-9000.0,829000.0,193000.0,636000.0,,,,636000.0,,,2229000.0,,10000.0,,,,838000.0,,39.16,39.63,29.6,,20.93,,,21.16,1.87,83.8,,0.0,2.0,,4.09,4.09,,75.58,0.0,276.0,1320.0,56.29,743.0,706.0,-6.0,934.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
8,SE5568603863,SWEDEN,Unconsolidated data,2015-12-31,2015.0,Local GAAP,12.0,0.0,SEK,0.118472181,0.108819866,0.0,,,,3350000.0,0.0,0.0,3350000.0,2417000.0,3350000.0,2727000.0,50000.0,2677000.0,,,,,624000.0,0.0,21000.0,603000.0,3350000.0,-21000.0,2726000.0,,3.0,3780000.0,3780000.0,,,,798000.0,2000.0,2000.0,0.0,798000.0,188000.0,610000.0,,,,610000.0,,,2065000.0,,2000.0,,,,798000.0,,29.26,,23.82,,21.11,,,21.11,,399.0,,0.0,2.0,,5.37,5.37,,81.4,,266.0,1260.0,54.63,688.0,909.0,-7.0,1117.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
9,SE5568603863,SWEDEN,Unconsolidated data,2016-12-31,2016.0,Local GAAP,12.0,0.0,SEK,0.110348478,0.104685062,0.0,,,,4247000.0,0.0,0.0,4247000.0,500000.0,4247000.0,3377000.0,50000.0,3327000.0,,,,,869000.0,,103000.0,767000.0,4247000.0,-103000.0,3378000.0,,4.0,4453000.0,4453000.0,,,,864000.0,2000.0,4000.0,-2000.0,862000.0,211000.0,651000.0,,,,651000.0,,,2584000.0,,4000.0,,,,864000.0,,25.53,,20.3,,19.36,,,19.4,,216.0,,0.0,8.0,,4.89,4.89,,79.52,,216.0,1113.0,58.03,646.0,844.0,-26.0,1062.0,SMALL,SE5568603863,SE5568603863U,556860-3863,FRIESLANDCAMPINA SWEDEN AB,FRIESLANDCAMPINA SWEDEN AB,C/O MAZAR SET REVISIONSBYRAA AB  BOX 4211,C/O MAZAR SET REVISIONSBYR AB  BOX 4211,203 13,MALMO,MALM,Stockholm,Stockholm,SWEDEN,SE,+46 73 5191043,,,Active,,,Private limited liability company - AB,,2011.0,No,Unconsolidated data,U1,Unconsolidated,2017.0,6.0,2942.0,UC AB,D,SMALL,,Bolaget ska bedriva handel och frsljning av livsmedel samtdrmed frenlig verksamhet.,46172,4617 LA,"Agents involved in the sale of food, beverages and tobacco (Large Companies)",4260.0,,08/2011,FRICAMP SWEDEN AB
